Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,6973212.39,240886.01,1079794.80,3077,0,2867,0,7153,0,661,0,39,0.7765798499561856,6552
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,15713236.95,409936.54,157210.00,4855,0,1940,0,10565,0,1691,0,56,0.9077542149975153,15816
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,2307898.24,35623.02,14750.00,680,0,872,0,1852,0,159,0,16,0.6702548006006143,1548
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,4724325.08,2639065.29,2502072.00,2127,0,901,0,4802,0,908,0,25,0.9494061275437488,7416
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,2176937.35,495698.08,1524612.00,466,0,148,0,928,0,214,0,44,0.19176405878579794,7392
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,3735021.29,827391.21,1554270.00,1016,0,540,0,2736,0,339,0,10,0.9482111226141584,3144
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1760192.14,935379.18,298131.83,1324,0,1315,0,2386,0,254,0,22,0.9102298449284836,2448
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,1243112.43,616093.38,259980.76,621,0,374,0,1508,0,221,0,20,0.9341898018252259,2040
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1129851.46,317533.14,545813.74,417,0,194,0,1147,0,177,0,17,0.8960000637160204,1680
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,12374191.53,0.00,0,4236,0,1400,0,10077,0,1814,53,0.9847241639847724,19464
